event,market,book,selection,opponent,bet_key,bet_odds,bet_dg_fair,bet_ev,bet_ts,close_odds,close_dg_fair,close_ts,pushed,graded,clv,beat,ev_close,graded_ts,bet_odds_american,close_odds_american
RBC Canadian Open,tournament_matchups,draftkings,"Fitzpatrick, Alex","Thorbjornsen, Michael",tournament_matchups draftkings 25362 26649,1.89,0.5563,0.053,2026-06-10 22:03:01.452912,1.89,0.5563,2026-06-11 11:51:04.269606,TRUE,FALSE,0,FALSE,0.051407,2026-06-11 11:51:04.269606,-112,-112
RBC Canadian Open,tournament_matchups,fanduel,"Fitzpatrick, Matt","Burns, Sam",tournament_matchups fanduel 17646 19483,1.9,0.545,0.0356,2026-06-10 22:03:01.452912,1.9,0.545,2026-06-11 11:51:04.269606,TRUE,FALSE,0,FALSE,0.0355000000000001,2026-06-11 11:51:04.269606,-111,-111
RBC Canadian Open,tournament_matchups,draftkings,"Meissner, Mac","Yellamaraju, Sudarshan",tournament_matchups draftkings 28159 29925,1.85,0.5592,0.033,2026-06-10 22:03:01.452912,1.85,0.5592,2026-06-11 11:51:04.269606,TRUE,FALSE,0,FALSE,0.0345200000000001,2026-06-11 11:51:04.269606,-118,-118
RBC Canadian Open,3_balls,fanduel,"Hojgaard, Nicolai","Yu, Kevin / Riley, Davis","3_balls fanduel 23602 17881,19872",2.05,0.5039,0.033,2026-06-10 22:03:01.452912,1.95,0.5039,2026-06-11 11:51:04.269606,TRUE,FALSE,0.0512820512820513,TRUE,0.0329949999999999,2026-06-11 11:51:04.269606,+105,-105
RBC Canadian Open,tournament_matchups,caesars,"Fleetwood, Tommy","Clark, Wyndham",tournament_matchups caesars 12294 23604,1.67,0.6178,0.0297,2026-06-10 22:03:01.452912,1.65,0.6178,2026-06-11 11:51:04.269606,TRUE,FALSE,0.0121212121212122,TRUE,0.0317259999999999,2026-06-11 11:51:04.269606,-149,-154
RBC Canadian Open,tournament_matchups,fanduel,"Fleetwood, Tommy","Clark, Wyndham",tournament_matchups fanduel 12294 23604,1.67,0.6178,0.0297,2026-06-10 22:03:01.452912,1.67,0.6178,2026-06-11 11:51:04.269606,TRUE,FALSE,0,FALSE,0.0317259999999999,2026-06-11 11:51:04.269606,-149,-149
RBC Canadian Open,3_balls,fanduel,"Hubbard, Mark","Dahmen, Joel / Keefer, Johnny","3_balls fanduel 16333 14509,32457",3.2,0.3212,0.0278,2026-06-10 22:03:01.452912,3.2,0.3212,2026-06-11 11:51:04.269606,TRUE,FALSE,0,FALSE,0.0278400000000001,2026-06-11 11:51:04.269606,+220,+220
RBC Canadian Open,3_balls,fanduel,"Cole, Eric","Thorbjornsen, Michael / Phillips, Chandler","3_balls fanduel 21756 26649,27164",2.45,0.4186,0.0256,2026-06-10 22:03:01.452912,2.45,0.4186,2026-06-11 11:51:04.269606,TRUE,FALSE,0,FALSE,0.0255700000000001,2026-06-11 11:51:04.269606,+145,+145
RBC Canadian Open,tournament_matchups,caesars,"Fitzpatrick, Matt","Burns, Sam",tournament_matchups caesars 17646 19483,1.91,0.545,0.0405,2026-06-11 02:03:47.54533,1.91,0.545,2026-06-11 11:51:04.269606,TRUE,FALSE,0,FALSE,0.04095,2026-06-11 11:51:04.269606,-110,-110
RBC Canadian Open,tournament_matchups,caesars,"Thorbjornsen, Michael","Hojgaard, Nicolai",tournament_matchups caesars 26649 23602,2.45,0.4282,0.0491,2026-06-11 07:09:16.301116,2.45,0.4282,2026-06-11 11:51:04.269606,TRUE,FALSE,0,FALSE,0.0490900000000001,2026-06-11 11:51:04.269606,+145,+145
